"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-09,85.4215301626678,-0.0613010875944637,0.00196752370333727,0.00467830527778975,-0.00775187705618339,-46
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-12,85.3100269157332,-0.130532954305945,-0.00667995853472634,-0.000124945907564364,0,-45
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-13,86.0462985555056,0.863054046975838,-0.000790072378378903,-0.0124199560501187,0,-44
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-14,85.49883702328,-0.636240653480793,-0.0088494008657207,0.00784196329924137,-0.00781253713041921,-43
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-15,85.3485497049068,-0.175777032303069,-0.00155554062478464,0.00737061613696415,0.0157480071368736,-42
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-16,85.5547464156618,0.241593690189054,-0.00667479863164929,-0.00140436630250412,-0.00775187705618339,-41
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-19,85.6669749958316,0.131177503144662,-0.00182483629640545,0.000529661016949225,-0.031250049507225,-40
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-20,85.6092757922591,-0.0673529135063564,0.00725427060388097,-0.00381214898109448,-0.01612890532174,-39
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-21,85.592474799517,-0.0196252013425713,-0.00607361691094182,-0.000653568821713106,0.00819665574534144,-38
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-22,85.3150503081801,-0.324122525942495,-0.00704094215615026,0.0176242822085515,-0.00813001679645704,-37
